candidate_type,candidate_id,evidence_id,review_status,explanation_strength,reviewer_notes,reviewed_by,reviewed_at
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_NYE_FIREWORKS_001,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_NYE_002,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_NYE_ROAD_CLOSURES_003,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_NYE_PUBLIC_TRANSPORT_004,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_NYE_EARLY_MORNING_CROWD_005,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202501010000,ME_20250101_PUBLIC_HOLIDAY_006,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_PUBLIC_HOLIDAY_006,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_PUBLIC_HOLIDAY_BUSINESS_CLOSURE_007,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_BANK_CLOSURE_008,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_NYE_PUBLIC_TRANSPORT_CUTOFF_009,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
