evidence_id,evidence_name,evidence_type,source_name,source_url,source_accessed_date,start_timestamp,end_timestamp,timezone,location_name,precinct,latitude,longitude,spatial_scope,expected_pedestrian_impact,expected_direction,evidence_confidence,notes,created_by,created_at
ME_20250101_NYE_FIREWORKS_001,MEL NYE 2024 MIDNIGHT ROOFTOP FIREWORKS AND LASER DISPLAY,MAJOR_EVENT,ABC_NEWS,"https://www.abc.net.au/news/2024-12-31/new-years-eve-celebrations-2024-australia/104770858",2026-07-07,2025-01-01T00:00:00+11:00,2025-01-01T00:07:00+11:00,Australia/Melbourne,MEL CBD,MEL CBD,,,NETWORK_WIDE,INCREASE,ABOVE_BASELINE,HIGH,"Strong match: event starts at candidate window start; Melbourne CBD/network-wide location matches multiple CBD sensors; NYE crowd event supports above-baseline direction; strong explanatory value for early post-midnight activity and crowd dispersal, though fireworks lasted only 7 minutes.",SIYANG,2026-07-07T21:37:00+10.00
ME_20250101_NYE_002,CITY OF MEL NYE 2024,MAJOR_EVENT,VIC_GOV,"https://www.melbourne.vic.gov.au/media/new-years-eve-set-dazzle-melbourne",2026-07-07,2024-12-31T18:00:00+11:00,2025-01-01T01:00:00+11:00,Australia/Melbourne,MEL CBD,MEL CBD,,,NETWORK_WIDE,INCREASE,ABOVE_BASELINE,HIGH,"Partial time match: the City of Melbourne NYE 2024 event window overlaps the early 00:00-01:00 part of the candidate window; location match is strong: MEL CBD / NETWORK_WIDE aligns with multiple CBD sensors; direction match is strong: a major NYE event and crowd dispersal support above-baseline pedestrian activity; explanatory strength is strong, but mainly for the early window and post-event dispersal, not the full period through 05:00.",SIYANG,2026-07-07T21:52:00+10.00
ME_20250101_NYE_ROAD_CLOSURES_003,MEL NYE 2024 ROAD CLOSURES,ROAD_CLOSURE,PREMIER_OF_VICTORIA,"https://www.premier.vic.gov.au/go-safely-or-go-home-new-years-eve",2026-07-07,2024-12-31T16:00:00+11:00,2025-01-01T04:00:00+11:00,Australia/Melbourne,MEL_CBD,MEL_CBD,,,NETWORK_WIDE,INCREASE,ABOVE_BASELINE,MEDIUM,"Strong time match: closures cover 00:00-04:00; strong location match: MEL_CBD/NETWORK_WIDE aligns with multiple CBD sensors; direction is reasonable: NYE closures support crowd dispersal and route redistribution, consistent with above-baseline; medium explanatory strength, not enough alone to explain through 05:00.",SIYANG,2026-07-07T22:07:00+10.00
ME_20250101_NYE_PUBLIC_TRANSPORT_004,MEL NYE 2024 PUBLIC TRANSPORT,PUBLIC_TRANSPORT,TRANSPORT_VIC,"https://transport.vic.gov.au/news-and-resources/events-and-public-transport/new-years-eve",2026-07-07,2024-12-31T18:00:00+11:00,2025-01-01T06:00:00+11:00,Australia/Melbourne,MEL_CBD,MEL_CBD,,,NETWORK_WIDE,INCREASE,ABOVE_BASELINE,HIGH,"Strong time match: free/extra public transport covers 18:00-06:00 and fully overlaps the candidate window; strong location match: CBD stations and tram corridors align with multiple CBD sensors; direction supports above-baseline through NYE inbound/outbound crowd movement; high explanatory value for sustained post-midnight dispersal.",SIYANG,2026-07-07T22:10:00+10.00
ME_20250101_NYE_EARLY_MORNING_CROWD_005,MEL CBD NEW YEAR'S DAY 2025 EARLY MORNING CROWD,CROWD_OBSERVATION,THE_GUARDIAN,"https://www.theguardian.com/australia-news/gallery/2025/jan/01/new-years-eve-fireworks-celebrations-australia-in-pictures",2026-07-07,2025-01-01T00:00:00+11:00,2025-01-01T03:00:00+11:00,Australia/Melbourne,MEL_CBD,MEL_CBD,,,NETWORK_WIDE,INCREASE,ABOVE_BASELINE,HIGH,"Strong match: post-midnight CBD crowd evidence overlaps 00:00-03:00; Melbourne CBD/Flinders Street matches multiple CBD sensors; concentrated departure crowds support above-baseline; strong early-window explanation, not a precise count through 05:00.",SIYANG,2026-07-07T22:20:00+10:00
ME_20250101_PUBLIC_HOLIDAY_006,VICTORIA NEW YEAR'S DAY PUBLIC HOLIDAY 2025,PUBLIC_HOLIDAY,BUSINESS_VICTORIA,"https://business.vic.gov.au/business-information/public-holidays/victorian-public-holidays-2025",2026-07-08,2025-01-01T00:00:00+11:00,2025-01-02T00:00:00+11:00,Australia/Melbourne,VICTORIA,STATE_WIDE,,,STATE_WIDE,DECREASE,BELOW_BASELINE,HIGH,"Strong date match: New Year's Day public holiday applies all day; state-wide scope supports reduced normal Wednesday CBD commuter/business demand; strong support for below-baseline morning activity after NYE dispersal.",SIYANG,2026-07-08T21:30:00+10:00
ME_20250101_PUBLIC_HOLIDAY_BUSINESS_CLOSURE_007,AUSTRALIA PUBLIC HOLIDAY OFFICE AND SHOP CLOSURE PATTERN,BUSINESS_CLOSURE,TOURISM_AUSTRALIA,"https://www.australia.com/en-sg/facts-and-planning/when-to-go/australian-public-holidays.html",2026-07-08,2025-01-01T06:00:00+11:00,2025-01-01T10:00:00+11:00,Australia/Melbourne,VICTORIA,STATE_WIDE,,,STATE_WIDE,DECREASE,BELOW_BASELINE,MEDIUM,"Conceptual match: public holidays commonly reduce office, banking and some retail activity; this supports lower weekday-morning CBD demand during 06:00-10:00, but it is not a direct pedestrian count.",SIYANG,2026-07-08T21:30:00+10:00
ME_20250101_BANK_CLOSURE_008,NEW YEAR'S DAY 2025 NATIONAL BANK CLOSURE,BUSINESS_CLOSURE,ANZ,"https://www.anz.com/content/dam/anzcom/pdf/institutional/australian-public-holidays-2025.pdf",2026-07-08,2025-01-01T06:00:00+11:00,2025-01-01T10:00:00+11:00,Australia/Melbourne,VICTORIA,STATE_WIDE,,,STATE_WIDE,DECREASE,BELOW_BASELINE,MEDIUM,"Strong date match: New Year's Day bank closure supports reduced CBD banking and professional-services activity in the normal morning window; medium explanatory value because it is sector-specific, not a direct CBD footfall measure.",SIYANG,2026-07-08T21:30:00+10:00
ME_20250101_NYE_PUBLIC_TRANSPORT_CUTOFF_009,MEL NYE 2024 FREE PUBLIC TRANSPORT ENDS AT 6AM,PUBLIC_TRANSPORT,PREMIER_OF_VICTORIA,"https://www.premier.vic.gov.au/free-public-transport-christmas-season",2026-07-08,2025-01-01T06:00:00+11:00,2025-01-01T10:00:00+11:00,Australia/Melbourne,MEL_CBD,MEL_CBD,,,NETWORK_WIDE,DECREASE,BELOW_BASELINE,MEDIUM,"Strong boundary match: special NYE free transport ends at 06:00, so 06:00-10:00 is post-dispersal rather than active event movement; supports below-baseline when combined with public holiday suppression.",SIYANG,2026-07-08T21:30:00+10:00
ME_20250101_QVM_PUBLIC_HOLIDAY_CLOSURE_010,QUEEN VICTORIA MARKET NEW YEAR'S DAY PUBLIC HOLIDAY CLOSURE,BUSINESS_CLOSURE,QUEEN_VICTORIA_MARKET,"https://qvm.com.au/education/planning-your-visit/",2026-07-08,2025-01-01T06:00:00+11:00,2025-01-01T10:00:00+11:00,Australia/Melbourne,QUEEN_VICTORIA_MARKET,QVM_PRECINCT,,,SITE_SPECIFIC,DECREASE,BELOW_BASELINE,LOW,"Local match: QVM closure supports reduced activity near the QVM sensor area; low explanatory value for the full network-wide candidate because the effect is site-specific rather than CBD-wide.",SIYANG,2026-07-08T21:30:00+10:00
