source_id,name,category,method,source_url,local_path,status,notes
pedestrian_counts,City of Melbourne Pedestrian Counts,observed_signal,csv_or_api,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/,data/raw/pedestrian/,downloaded,Main hourly pedestrian mobility signal
pedestrian_sensors,City of Melbourne Pedestrian Sensor Locations,metadata,csv_or_api,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-sensor-locations/,data/raw/sensors/,downloaded,Sensor location status and coordinate metadata
open_meteo_weather_json,Open-Meteo Historical Weather JSON,weather_context,api,https://open-meteo.com/en/docs/historical-weather-api,data/raw/weather/open_meteo_melbourne_hourly_2025.json,downloaded,Primary hourly Melbourne CBD weather context for 2025
open_meteo_weather_csv,Open-Meteo Historical Weather CSV,weather_context,csv,https://open-meteo.com/en/docs/historical-weather-api,data/raw/weather/open_meteo_melbourne_hourly_2025.csv,downloaded,Backup CSV version for inspection
victoria_important_dates,Victorian Government Important Dates 2025,calendar_context,csv,https://discover.data.vic.gov.au/dataset/government-dates-api-data,data/raw/calendar/victoria_important_dates_2025.csv,downloaded,Public holidays school terms daylight saving and important dates
planned_works_datavic,City Activities and Planned Works,event_disruption,ckan_datastore,https://discover.data.vic.gov.au/dataset/city-activities-and-planned-works,data/raw/events/city_activities_planned_works_datavic.json,downloaded,Planned works permits road closures event booking and disruption context from DataVic datastore
melbourne_events_calendar_2025,Melbourne Events Calendar 2025,event_reference,pdf,https://mvga-prod-files.s3.ap-southeast-4.amazonaws.com/public/2025-06/melbourne-events-calendar-2025.pdf,data/raw/events/melbourne_events_calendar_2025.pdf,downloaded,Reference PDF for manually curated major event annotations
manual_events,Manual Event Notes,event_explanation,manual,data/manual/events_manual.csv,data/manual/events_manual.csv,created,Structured event annotations curated from official sources and anomaly review
traffic_signal_volume,Traffic Signal Volume Data,vehicle_signal,zip_download,https://opendata.transport.vic.gov.au/dataset/traffic-signal-volume-data,data/raw/traffic/,later,Future vehicle flow extension; large files not used in MVP
bicycle_volume_speed,Bicycle Volume and Speed,cycling_signal,zip_download,https://discover.data.vic.gov.au/dataset/bicycle-volume-and-speed,data/raw/cycling/,later,Future cycling signal extension
annual_bike_counts,Annual Bike Counts Super Tuesday,cycling_context,csv,https://data.melbourne.vic.gov.au/explore/dataset/annual-bike-counts-super-tuesday/,data/raw/cycling/,later,Annual cycling context not used in hourly MVP
