sensor_id,sensor_name,available_2025_hours,missing_2025_hours,coverage_rate,latitude,longitude,status,location_label,selection_mode,selection_tier,enabled,inclusion_reason,notes
4,Swa123_T,8759,1,0.999886,-37.81487988,144.9660878,A,Town Hall (West),MVP_3,mvp_core,true,Existing validated MVP sensor retained for backward compatibility.,incomplete_2025_coverage
3,Swa295_T,8759,1,0.999886,-37.81101524,144.96429485,A,Melbourne Central,MVP_3,mvp_core,true,Existing validated MVP sensor retained for backward compatibility.,incomplete_2025_coverage
133,Spen229_T,8759,1,0.999886,-37.81531435,144.95227769,A,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,MVP_3,mvp_core,true,Existing validated MVP sensor retained for backward compatibility.,incomplete_2025_coverage
4,Swa123_T,8759,1,0.999886,-37.81487988,144.9660878,A,Town Hall (West),REPRESENTATIVE_12,representative,true,Civic core anchor with near-complete coverage.,incomplete_2025_coverage
3,Swa295_T,8759,1,0.999886,-37.81101524,144.96429485,A,Melbourne Central,REPRESENTATIVE_12,representative,true,Central retail and Melbourne Central transport anchor.,incomplete_2025_coverage
133,Spen229_T,8759,1,0.999886,-37.81531435,144.95227769,A,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,REPRESENTATIVE_12,representative,true,Southern Cross Lonsdale entrance; west-CBD station anchor.,incomplete_2025_coverage
209,FliS_T,8759,1,0.999886,-37.81909037,144.96549709,A,Flinders Underpass - Walkway,REPRESENTATIVE_12,representative,true,Flinders transport underpass; major station movement context.,sensor_name_shared_by_ids:6|209
79,FliSS_T,8759,1,0.999886,-37.81794046,144.96616678,A,Flinders St (South),REPRESENTATIVE_12,representative,true,Flinders Street south; southern CBD street activity.,incomplete_2025_coverage
59,RMIT_T,8759,1,0.999886,-37.80825648,144.96304859,A,Building 80 RMIT,REPRESENTATIVE_12,representative,true,RMIT education precinct with near-complete coverage.,incomplete_2025_coverage
49,Eli501_T,8759,1,0.999886,-37.80730068,144.95956055,A,QVM-Therry St (South),REPRESENTATIVE_12,representative,true,Queen Victoria Market / Therry Street market context.,incomplete_2025_coverage
212,SouthB_T,8758,2,0.999772,-37.82025374,144.96501549,A,Southbank Promenade - Riverside,REPRESENTATIVE_12,representative,true,Southbank Promenade river and leisure context.,sensor_name_shared_by_ids:211|212
66,QVN_T,8759,1,0.999886,-37.81057846,144.96444294,A,"QV2 Apartments, 300 Swanston Street",REPRESENTATIVE_12,representative,true,QV / Swanston retail and central pedestrian corridor.,incomplete_2025_coverage
58,Bou688_T,8758,2,0.999772,-37.81686075,144.95358075,A,Bourke St - Spencer St (North),REPRESENTATIVE_12,representative,true,Bourke / Spencer west-CBD street context.,incomplete_2025_coverage
23,Col623_T,8758,2,0.999772,-37.81909256,144.95452748,A,Spencer St-Collins St (South),REPRESENTATIVE_12,representative,true,Spencer / Collins station-adjacent and office context.,incomplete_2025_coverage
132,King335_T,8758,2,0.999772,-37.81267639,144.95386444,A,I-Hub Corner of King Street and Latrobe Street (317-335 King),REPRESENTATIVE_12,representative,true,King / La Trobe north-west CBD comparison point.,incomplete_2025_coverage
3,Swa295_T,8759,1,0.999886,-37.81101524,144.96429485,A,Melbourne Central,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
4,Swa123_T,8759,1,0.999886,-37.81487988,144.9660878,A,Town Hall (West),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
30,Lon189_T,8759,1,0.999886,-37.8112185,144.96656806,A,Lonsdale St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
47,Eli250_T,8759,1,0.999886,-37.81258467,144.9625775,A,Melbourne Central-Elizabeth St (East),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
